Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Course Advising & Registration,09/23/2024,,09/25/2024,,True,,,False
Classes Begin,09/28/2024,,09/28/2024,,True,,,False
Last day of Course Advising & Registration without Fine,10/02/2024,,10/02/2024,,True,,,False
Last day to drop course(s) with 100% adjustable refund only,10/06/2024,,10/06/2024,,True,,,False
"Holiday:Durga Puja (only classes will remain suspended).Offices will be closed only on October 13, 2024 (Sunday).",10/10/2024,,10/16/2024,,True,,,False
Last day of Course Advising & Registration with a Fine of Tk. 500/-,10/14/2024,,10/14/2024,,True,,,False
Last day to drop course(s) with 50% adjustable refund only,10/14/2024,,10/14/2024,,True,,,False
"1st installment: A fine of Tk. 500/- will be imposed if 25% of the Tuition and Semester fee is not paid within this date.Transportation fee, if applicable, must be paid in full (no installment)",10/20/2024,,10/20/2024,,True,,,False
2ndinstallment: A fine of Tk. 500/- will be imposed if 50% of the Tuition and Semester fee is not paid within this date.,11/18/2024,,11/18/2024,,True,,,False
Mid-Term Exam,11/23/2024,,12/04/2024,,True,,,False
Last Day of Course Withdrawal,12/15/2024,,12/15/2024,,True,,,False
3rdinstallment: A fine of Tk. 500/- will be imposed if 75% of the Tuition and Semester fee is not paid within this date.,12/15/2024,,12/15/2024,,True,,,False
Holiday: Victory Day,12/16/2024,,12/16/2024,,True,,,False
Make-up class: Regular Wednesday Classes,12/23/2024,,12/23/2024,,True,,,False
Holiday: Christmas Day,12/25/2024,,12/25/2024,,True,,,False
4thinstallment: A fine of Tk. 500/- will be imposed if 100% of the Tuition and Semester fee is not paid within this date.,01/12/2025,,01/12/2025,,True,,,False
Classes will remain suspended,01/23/2025,,01/27/2025,,True,,,False
Final Exam,01/28/2025,,02/11/2025,,True,,,False
Holiday: Sharaswati Puja (There will be no exam.  Offices will remain open.),02/02/2025,,02/02/2025,,True,,,False
Holiday: *Shab-e-Barat,02/14/2025,,02/14/2025,,True,,,False
Last day of Grade Submission (including Self-Study courses),02/15/2025,,02/15/2025,,True,,,False
