Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Course Advising & Registration,02/18/2025,,02/20/2025,,True,,,False
Last day of Course Advising & Registration without Fine,02/20/2025,,02/20/2025,,True,,,False
Holiday: Shaheed Dibash & International Mother language day,02/21/2025,,02/21/2025,,True,,,False
Classes Begin,02/22/2025,,02/22/2025,,True,,,False
Orientation Program: All Undergraduate & Graduate Programs at 3:00 PM,02/28/2025,,02/28/2025,,True,,,False
Last day to drop course(s) with 100% adjustable refund only,03/02/2025,,03/02/2025,,True,,,False
Last day to apply for Grade Change of a course (if any) of Fall 2024 Trimester/Semester.Note: No application will be considered after the deadline.,03/02/2025,,03/02/2025,,True,,,False
Last day of Grade Submission for Project/ Thesis (Final Year Design Project)/ Internship/ Research Project,03/04/2025,,03/04/2025,,True,,,False
Last day of Course Advising & Registration with a Fine of Tk. 500/-,03/09/2025,,03/09/2025,,True,,,False
Last day of Grade Submission of Incomplete Grades of Fall 2024 Trimester/Semester by concerned Department/Program Office,03/09/2025,,03/09/2025,,True,,,False
Last day to drop course(s) with 50% adjustable refund only,03/09/2025,,03/09/2025,,True,,,False
"1st installment: A fine of Tk. 500/- will be imposed if 40% Tuition Fee and Trimester Fee is not paid within this date.Transportation fee, if applicable, must be paid in full (no installment)",03/17/2025,,03/17/2025,,True,,,False
Holiday: Independence and National Day,03/26/2025,,03/26/2025,,True,,,False
Holiday: Jumu’atul-Widaa/ *Shab-e-Qad’r /*Eid-ul-Fit’r,03/27/2025,,04/04/2025,,True,,,False
Mid-Term Exam,04/12/2025,,04/19/2025,,True,,,False
2nd installment: A fine of Tk. 500/- will be imposed if 70% Tuition Fee and Trimester Fee is not paid within this date.,04/13/2025,,04/13/2025,,True,,,False
Holiday: Bangla New Year,04/14/2025,,04/14/2025,,True,,,False
Make-up class: Regular Saturday Classes,04/24/2025,,04/24/2025,,True,,,False
Holiday: May Day,05/01/2025,,05/01/2025,,True,,,False
Holiday: *Buddha Purnima,05/11/2025,,05/11/2025,,True,,,False
Last Day of Course Withdrawal,05/13/2025,,05/13/2025,,True,,,False
3rd installment: A fine of Tk. 500/- will be imposed if 100% Tuition Fee and Trimester Fee is not paid within this date.,05/13/2025,,05/13/2025,,True,,,False
Make-up class: Regular Sunday Classes,05/15/2025,,05/15/2025,,True,,,False
Classes will remain suspended,05/29/2025,,05/31/2025,,True,,,False
Final Exam,06/01/2025,,06/18/2025,,True,,,False
Holiday: *Eid-ul-Azha (for all except students),06/03/2025,,06/10/2025,,True,,,False
Holiday: *Eid-ul-Azha (for students only),06/03/2025,,06/12/2025,,True,,,False
Last day of Grade Submission (including Self-Study courses),06/22/2025,,06/22/2025,,True,,,False
