Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Course Advising & Registration,"Oct 30, 31 & Nov 2, 2024",,"Oct 30, 31 & Nov 2, 2024",,True,,,False
Last day of Course Advising & Registration without Fine,11/02/2024,,11/02/2024,,True,,,False
Classes Begin,11/03/2024,,11/03/2024,,True,,,False
Last day to drop course(s) with 100% adjustable refund,11/10/2024,,11/10/2024,,True,,,False
Last day to apply for Grade Change of a course (if any) of Summer 2024 Trimester.Note: No application will be considered after the deadline,11/10/2024,,11/10/2024,,True,,,False
Last day of Grade Submission for Project/ Thesis (Final Year Design Project),11/12/2024,,11/12/2024,,True,,,False
Last day of Course Advising & Registration with a Fine of Tk. 500/-Last day of Grade Submission of Incomplete Grades of Summer 2024 Trimester by concerned Department/Program Office,11/17/2024,,11/17/2024,,True,,,False
Last day to drop course(s) with 50% adjustable refund,11/17/2024,,11/17/2024,,True,,,False
"Last date of 1stinstallment: A fine of Tk. 500/- will be imposed if 40% of the Tuition and Trimester fee is not paid within this date.Transportation fee, if applicable, must be paid in full (no installment)",11/20/2024,,11/20/2024,,True,,,False
Make-up class: Regular Saturday Classes,11/25/2024,,11/25/2024,,True,,,False
Mid-Term Exam,12/14/2024,,12/22/2024,,True,,,False
Last date of 2ndinstallment: A fine of Tk. 500/- will be imposed if 70% of the Tuition and Trimester fee is not paid within this date.,12/15/2024,,12/15/2024,,True,,,False
Holiday: Victory Day,12/16/2024,,12/16/2024,,True,,,False
Make-up class: Regular Saturday Classes,12/23/2024,,12/23/2024,,True,,,False
Holiday: Christmas Day,12/25/2024,,12/25/2024,,True,,,False
Make-up class: Regular Sunday Classes,12/30/2024,,12/30/2024,,True,,,False
Last Day of Course Withdrawal,01/01/2025,,01/01/2025,,True,,,False
Make-up class: Regular Wednesday Classes,01/13/2025,,01/13/2025,,True,,,False
Last date of 3rdinstallment: A fine of Tk. 500/- will be imposed if 100% of the Tuition and Trimester fee is not paid within this date,01/13/2025,,01/13/2025,,True,,,False
Classes will remain Suspended,01/30/2025,,02/02/2025,,True,,,False
Holiday: Sharaswati Puja (Only classes will remain suspended).,02/03/2025,,02/03/2025,,True,,,False
Final Exam,02/04/2025,,02/12/2025,,True,,,False
Holiday: *Shab-e-Barat,02/15/2025,,02/15/2025,,True,,,False
Last day of Grade Submission (including Self-Study courses),02/16/2025,,02/16/2025,,True,,,False
