Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Course Advising & Registration,08/17/2025,,08/18/2025,,True,,,False
Last day of Course Advising & Registration without Fine,08/18/2025,,08/18/2025,,True,,,False
Classes Begin,08/19/2025,,08/19/2025,,True,,,False
Last day to drop course(s) with 100% adjustable refund,08/27/2025,,08/27/2025,,True,,,False
Last day to apply for Grade Change of a course (if any) of Spring 2025 Semester.Note: No application will be considered after the deadline,08/27/2025,,08/27/2025,,True,,,False
Last day of Course Advising & Registration with a Fine of Tk. 500/-Last day of Grade Submission of Incomplete Grades of Spring 2025 Semester by concerned Department/Program Office,09/03/2025,,09/03/2025,,True,,,False
Last day to drop course(s) with 50% adjustable refund,09/03/2025,,09/03/2025,,True,,,False
Holiday: * Eid-e-Miladunnabi,09/06/2025,,09/06/2025,,True,,,False
"1stinstallment: A fine of Tk. 500/- will be imposed if 25% Tuition Fee and Semester Fee is not paid within this date.Transportation fee, if applicable, must be paid in full (no installment)",09/14/2025,,09/14/2025,,True,,,False
Make-up class: Regular Saturday Classes,09/25/2025,,09/25/2025,,True,,,False
Holiday: Durga Puja (for students only),09/29/2025,,10/03/2025,,True,,,False
Holiday: Durga Puja,10/01/2025,,10/02/2025,,True,,,False
Mid-Term Exam,10/11/2025,,10/22/2025,,True,,,False
2ndinstallment:  A fine of Tk. 500/- will be imposed if 50% Tuition Fee and Semester Fee is not paid within this date,10/12/2025,,10/12/2025,,True,,,False
Last Day of Course Withdrawal,11/03/2025,,11/03/2025,,True,,,False
3rdinstallment:  A fine of Tk. 500/- will be imposed if 75% Tuition Fee and Semester Fee is not paid within this date,11/12/2025,,11/12/2025,,True,,,False
Make-up class: Regular Tuesday classes,12/11/2025,,12/11/2025,,True,,,False
4thinstallment:  A fine of Tk. 500/- will be imposed if 100% Tuition Fee and Semester Fee is not paid within this date,12/14/2025,,12/14/2025,,True,,,False
Holiday: Victory Day,12/16/2025,,12/16/2025,,True,,,False
Classes will remain suspended for exam preparation,12/18/2025,,12/20/2025,,True,,,False
Final Exam,12/21/2025,,01/07/2026,,True,,,False
Holiday: Christmas Day,12/25/2025,,12/25/2025,,True,,,False
Last day of Grade Submission,01/11/2026,,01/11/2026,,True,,,False
