Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Course Advising & Registration,11/08/2025,,11/10/2025,,True,,,False
Last day of Course Advising & Registration,11/10/2025,,11/10/2025,,True,,,False
Classes Begin,11/11/2025,,11/11/2025,,True,,,False
Orientation,11/14/2025,,11/14/2025,,True,,,False
Last day to drop course(s) with 100% adjustable refund,11/16/2025,,11/16/2025,,True,,,False
Last day to apply for Grade Change of a course (if any) of Summer 2025 Trimester.Note: No application will be considered after the deadline.,11/19/2025,,11/19/2025,,True,,,False
Last day of Grade Submission for Project/ Thesis (Final Year Design Project)/ Internship),11/22/2025,,11/22/2025,,True,,,False
Make-up class  (Saturday),11/24/2025,,11/24/2025,,True,,,False
Last day of Course Advising & Registration with a Fine of Tk. 500/-Last day of Grade Submission of Incomplete Grades of Summer 2025 Trimester by concerned Department/Program Office,11/26/2025,,11/26/2025,,True,,,False
Last day to drop course(s) with 50% adjustable refund,11/26/2025,,11/26/2025,,True,,,False
Make-up class (Sunday),12/08/2025,,12/08/2025,,True,,,False
1stinstallment *,12/10/2025,,12/10/2025,,True,,,False
Make-up class (Tuesday),12/15/2025,,12/15/2025,,True,,,False
Holiday: Victory Day,12/16/2025,,12/16/2025,,True,,,False
Mid-Term Exam,12/20/2025,,12/27/2025,,True,,,False
Holiday:Christmas Day,12/25/2025,,12/25/2025,,True,,,False
Last Day of Course Withdrawal,01/05/2026,,01/05/2026,,True,,,False
2ndInstallment **,01/11/2026,,01/11/2026,,True,,,False
Make-up class (Saturday),01/12/2026,,01/12/2026,,True,,,False
Holiday: Saraswati  Puja,01/23/2026,,01/23/2026,,True,,,False
Make-up class (Wednesday),01/26/2026,,01/26/2026,,True,,,False
Holiday:  Shab-e-Barat****,02/04/2026,,02/04/2026,,True,,,False
Classes will remain suspended for Exam preparation,02/05/2026,,02/06/2026,,True,,,False
Final Exam,02/07/2026,,02/14/2026,,True,,,False
3rdinstallment ***,02/08/2026,,02/08/2026,,True,,,False
Last day of Grade Submission (including Self-Study courses),02/17/2026,,02/17/2026,,True,,,False
Holiday: Shaheed Day and International Mother Language Day,02/21/2026,,02/21/2026,,True,,,False
Trimester break,02/19/2026,,02/22/2026,,True,,,False
