Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Course Advising & Registration,11/08/2025,,11/10/2025,,True,,,False
Last day of Course Advising & Registration,11/10/2025,,11/10/2025,,True,,,False
Classes Begin,11/11/2025,,11/11/2025,,True,,,False
Last day to drop course(s) with 100% adjustable refund,11/16/2025,,11/16/2025,,True,,,False
Last day to apply for Grade Change of a course (if any) of Summer 2025 Trimester.Note: No application will be considered after the deadline.,11/19/2025,,11/19/2025,,True,,,False
Last day of Grade Submission for Project/ Thesis (Final Year Design Project)/ Internship),11/22/2025,,11/22/2025,,True,,,False
Make-up class  (Saturday),11/24/2025,,11/24/2025,,True,,,False
Last day of Course Advising & Registration with a Fine of Tk. 500/-Last day of Grade Submission of Incomplete Grades of Summer 2025 Trimester by concerned Department/Program Office,11/26/2025,,11/26/2025,,True,,,False
Last day to drop course(s) with 50% adjustable refund,11/26/2025,,11/26/2025,,True,,,False
Make-up class (Sunday),12/08/2025,,12/08/2025,,True,,,False
Last Date of 1stinstallment *,12/10/2025,,12/10/2025,,True,,,False
Make-up class (Tuesday),12/15/2025,,12/15/2025,,True,,,False
Holiday: Victory Day,12/16/2025,,12/16/2025,,True,,,False
Mid-Term Exam,12/20/2025,,12/27/2025,,True,,,False
Holiday:Christmas Day,12/25/2025,,12/25/2025,,True,,,False
Last Day of Course Withdrawal,01/07/2026,,01/07/2026,,True,,,False
Last Date of 2ndInstallment **,01/11/2026,,01/11/2026,,True,,,False
Make-up class (Saturday),01/12/2026,,01/12/2026,,True,,,False
Make-up class (Wednesday),01/19/2026,,01/19/2026,,True,,,False
Holiday: Saraswati  Puja,01/23/2026,,01/23/2026,,True,,,False
Classes will remain suspended for Exam preparation,01/29/2026,,01/31/2026,,True,,,False
Final Exam,02/01/2026,,02/09/2026,,True,,,False
Holiday:  Shab-e-Barat****,02/04/2026,,02/04/2026,,True,,,False
Last Date of 3rdinstallment ***,02/08/2026,,02/08/2026,,True,,,False
Last date of Grade Submission (including Self-Study courses),02/16/2026,,02/16/2026,,True,,,False
Holiday: Shaheed Day and International Mother Language Day,02/21/2026,,02/21/2026,,True,,,False
Trimester break (University will remain closed),02/19/2026,,02/22/2026,,True,,,False
