Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Course Advising & Registration,08/03/2026,,08/04/2026,,True,,,False
Last day of Course Advising & Registration without Fine,08/04/2026,,08/04/2026,,True,,,False
Holiday: July Mass Uprising Day,08/05/2026,,08/05/2026,,True,,,False
Classes Begin,08/08/2026,,08/08/2026,,True,,,False
Last day to drop course(s) with 100% adjustable refund,08/10/2026,,08/10/2026,,True,,,False
Last day to apply for Grade Change of a course (if any) of Spring 2026 Semester.Note: No application will be considered after the deadline.,08/15/2026,,08/15/2026,,True,,,False
Last day to drop course(s) with 50% adjustable refund only,08/19/2026,,08/19/2026,,True,,,False
Last day of Course Advising & Registration with a Fine of Tk. 500/-Last day of Grade Submission of Incomplete Grades of Spring 2026 Semester,08/22/2026,,08/22/2026,,True,,,False
Holiday: Eid-e-Miladunnabi*****,08/26/2026,,08/26/2026,,True,,,False
Holiday: Janmashtami,09/04/2026,,09/04/2026,,True,,,False
Last date of 1st installment*,09/15/2026,,09/15/2026,,True,,,False
Mid-Term Exam,09/26/2026,,10/10/2026,,True,,,False
Last date of 2nd installment**,10/11/2026,,10/11/2026,,True,,,False
Last Day of Course Withdrawal,10/17/2026,,10/17/2026,,True,,,False
Classes will remain suspended,10/18/2026,,10/19/2026,,True,,,False
Holiday: Durga Puja,10/20/2026,,10/21/2026,,True,,,False
Last date of 3rd installment***,11/10/2026,,11/10/2026,,True,,,False
Last date of 4th installment****,12/09/2026,,12/09/2026,,True,,,False
Classes will remain suspended for exam preparation,12/12/2026,,12/18/2026,,True,,,False
Holiday: Victory Day,12/16/2026,,12/16/2026,,True,,,False
Final Exam & Oral Assessment,12/19/2026,,01/05/2027,,True,,,False
Holiday: Christmas Day,12/25/2026,,12/25/2026,,True,,,False
Last day of Grade Submission,01/10/2027,,01/10/2027,,True,,,False
