Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Course Advising & Registration,01/24/2026,,01/26/2026,,True,,,False
Last day of Course Advising & Registration without Fine,01/26/2026,,01/26/2026,,True,,,False
Classes Begin,01/27/2026,,01/27/2026,,True,,,False
Last day to drop course(s) with 100% adjustable refund only,01/29/2026,,01/29/2026,,True,,,False
Orientation of B.Pharm. Students of Spring 2026 Batch,02/02/2026,,02/02/2026,,True,,,False
Last day to apply for Grade Change of a course (if any) of Fall 2025 Semester.Note: No application will be considered after the deadline.,02/03/2026,,02/03/2026,,True,,,False
Holiday: Shab-e-Barat*****,02/04/2026,,02/04/2026,,True,,,False
Last day to drop course(s) with 50% adjustable refund only,02/05/2026,,02/05/2026,,True,,,False
# Last day of Course Advising & Registration with a Fine of Tk. 500/-# Last day of Grade Submission of Incomplete Grades of Fall 2025 Semester by concerned Department/Program Office# Last date of 1st installment*,02/09/2026,,02/09/2026,,True,,,False
University will remain closed,02/11/2026,,02/14/2026,,True,,,False
Holiday: Shaheed Day and International Mother Language Day,02/21/2026,,02/21/2026,,True,,,False
Last date of 2nd Installment**,03/10/2026,,03/10/2026,,True,,,False
Holiday: Jumu’atul-Widaa / Shab-e-Qad’r***** /Eid-ul-Fit’r*****,03/17/2026,,03/27/2026,,True,,,False
Holiday: National Independence Day,03/26/2026,,03/26/2026,,True,,,False
Mid-Term Exam,04/04/2026,,04/20/2026,,True,,,False
Holiday: Bangla New Year,04/14/2026,,04/14/2026,,True,,,False
Last date of 3rd installment***,04/15/2026,,04/15/2026,,True,,,False
Holiday: Buddha Purnima***** & May Day,05/01/2026,,05/01/2026,,True,,,False
Last Date of Course Withdrawal,05/04/2026,,05/04/2026,,True,,,False
Last date of 4th installment****,05/19/2026,,05/19/2026,,True,,,False
Holiday: Eid-Ul-Adha,05/26/2026,,06/05/2026,,True,,,False
Classes will remain suspended for exam preparation,06/25/2026,,06/27/2026,,True,,,False
Holiday: Ashura*****,06/26/2026,,06/26/2026,,True,,,False
Final Exam,06/28/2026,,07/15/2026,,True,,,False
Last date of Grade Submission,07/19/2026,,07/19/2026,,True,,,False
