Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Course Advising & Registration,02/23/2026,,02/25/2026,,True,,,False
Last day of Course Advising & Registration without Fine,02/25/2026,,02/25/2026,,True,,,False
Classes Begin,02/27/2026,,02/27/2026,,True,,,False
Last day to drop course(s) with 100% adjustable refund,03/02/2026,,03/02/2026,,True,,,False
Last day to apply for Grade Change of a course (if any) of Fall 2025 Trimester.Note: No application will be considered after the deadline.,03/07/2026,,03/07/2026,,True,,,False
Last day to drop course(s) with 50% adjustable refund,03/09/2026,,03/09/2026,,True,,,False
Last day of Grade Submission for Project/ Thesis (Final Year Design Project/ Internship),03/10/2026,,03/10/2026,,True,,,False
Last day of Course Advising & Registration with a Fine of Tk. 500/-Last day of Grade Submission of Incomplete Grades of Fall 2025 Trimester by concerned Department/Program Office,03/15/2026,,03/15/2026,,True,,,False
Holiday: Jumu’atul-Widaa/ Shab-e-Qad’r****/Eid-ul-Fit’r****/ Independence Day of Bangladesh,03/17/2026,,03/26/2026,,True,,,False
Last date of 1st installment*,04/12/2026,,04/12/2026,,True,,,False
Holiday: Bangla New Year,04/14/2026,,04/14/2026,,True,,,False
Mid-Term Exam,04/17/2026,,04/25/2026,,True,,,False
Last Date for Course Withdrawal,05/04/2026,,05/04/2026,,True,,,False
Last date of 2nd Installment**,05/12/2026,,05/12/2026,,True,,,False
Holiday: Eid-ul-Adha****,05/26/2026,,06/04/2026,,True,,,False
Last date of 3rd installment ***,06/14/2026,,06/14/2026,,True,,,False
Final Exam,06/19/2026,,"29, 2026",,True,,,False
Holiday: Ashura****,06/26/2026,,06/26/2026,,True,,,False
Last date of Grade Submission (including Self-Study courses),07/02/2026,,07/02/2026,,True,,,False
