Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Course Advising & Registration,07/21/2025,,07/23/2025,,True,,,False
Last day of Course Advising & Registration without Fine,07/23/2025,,07/23/2025,,True,,,False
Classes Begin,07/25/2025,,07/25/2025,,True,,,False
Last day to drop course(s) with 100% adjustable refund only,07/30/2025,,07/30/2025,,True,,,False
Last day to apply for Grade Change of a course (if any) of Spring 2025 Trimester.Note: No application will be considered after the deadline.,07/30/2025,,07/30/2025,,True,,,False
Last day of Grade Submission for Project/ Thesis,08/02/2025,,08/02/2025,,True,,,False
Holiday: July Mass Uprising Day,08/05/2025,,08/05/2025,,True,,,False
Last day of Course Advising & Registration with a Fine of Tk. 500/-Last day of Grade Submission of Incomplete Grades of Spring 2025 Trimester by concerned Department/Program Office,08/06/2025,,08/06/2025,,True,,,False
Last day to drop course(s) with 50% adjustable refund only,08/06/2025,,08/06/2025,,True,,,False
"1st installment: A fine of Tk. 500/- will be imposed if 40% Tuition Fee and Trimester Fee is not paid within this date.Transportation fee, if applicable, must be paid in full (no installment)",08/13/2025,,08/13/2025,,True,,,False
Holiday: Janmashtami,08/16/2025,,08/16/2025,,True,,,False
Holiday:*Eid-e-Miladunnabi,09/05/2025,,09/05/2025,,True,,,False
Mid-Term Exam,09/06/2025,,09/13/2025,,True,,,False
2ndinstallment:  A fine of Tk. 500/- will be imposed if 70% Tuition Fee and Trimester Fee is not paid within this date.,09/14/2025,,09/14/2025,,True,,,False
Last Day of Course Withdrawal,09/22/2025,,09/22/2025,,True,,,False
Holiday: Durga Puja (for students only),09/29/2025,,10/03/2025,,True,,,False
Holiday: Durga Puja,10/01/2025,,10/02/2025,,True,,,False
3rdinstallment:  A fine of Tk. 500/- will be imposed if 100% Tuition Fee and Trimester Fee is not paid within this date.,10/12/2025,,10/12/2025,,True,,,False
Final Exam,10/31/2025,,11/08/2025,,True,,,False
Last day of Grade Submission (including Self-Study courses),11/11/2025,,11/11/2025,,True,,,False
