Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Course Advising & Registration,07/04/2026,,07/06/2026,,True,,,False
Last day of Course Advising & Registration without Fine,07/06/2026,,07/06/2026,,True,,,False
Open Day Orientation,07/06/2026,,07/06/2026,,True,,,False
Classes Begin,07/10/2026,,07/10/2026,,True,,,False
Last day to drop course(s) with 100% adjustable refund only,07/11/2026,,07/11/2026,,True,,,False
Last day to apply for Grade Change of a course (if any) of Spring 2026 Trimester.Note: No application will be considered after the deadline.,07/15/2026,,07/15/2026,,True,,,False
Last day to drop course(s) with 50% adjustable refund onlyLast day of Course Advising & Registration with a Fine of Tk. 500/-Last day of Grade Submission of Incomplete Grades of Spring 2026 Trimester by concerned Department/Program Office,07/20/2026,,07/20/2026,,True,,,False
Holiday: July Mass Uprising Day,08/05/2026,,08/05/2026,,True,,,False
Last date of 1stinstallment*,08/11/2026,,08/11/2026,,True,,,False
Mid-Term Exam,08/21/2026,,08/29/2026,,True,,,False
Holiday:  Eid-e-Miladunnabi****,08/26/2026,,08/26/2026,,True,,,False
Holiday: Janmashtami,09/04/2026,,09/04/2026,,True,,,False
Last Day of Course Withdrawal,09/09/2026,,09/09/2026,,True,,,False
Last date of 2ndInstallment**,09/15/2026,,09/15/2026,,True,,,False
Last date of 3rdinstallment***,10/06/2026,,10/06/2026,,True,,,False
Final Exam,10/09/2026,,10/17/2026,,True,,,False
Holiday: Durga Puja,10/20/2026,,10/21/2026,,True,,,False
Last day of Grade Submission (including Self-Study courses),10/22/2026,,10/22/2026,,True,,,False
